,unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount,MA_50,MA_200,MA_21,slowk,slowd,k,d,j,SMMA_21,upper,middle,lower,Bollinger_Rank,direction_MA,kdj_cross,buy_signal,sell_signal,usdt,btc,com,profit,profit_percent,cum_profit,cum_profit_percent
48,1610001300000,2021-01-07 06:35:00,BTC/USDT,37026.14,37035.49,36987.99,37000.0,56.371141,2086205.21120043,1584,37209.88419999999,37351.43515,37025.370476190474,79.9547447320033,76.89727559100383,73.31691305025801,58.639962922908104,102.67081330495783,37124.24422791754,37292.21048101617,37011.639500000005,36731.06851898384,0.4792574770957261,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
49,1610001360000,2021-01-07 06:36:00,BTC/USDT,37000.0,37003.56,36950.0,36981.32,38.880319,1437572.82312762,1534,37201.0168,37350.634,37010.195714285706,82.73134398717673,80.31175851286098,74.4584822682668,63.91280270469434,95.54984139541173,37117.43831230241,37254.73255539794,36998.059499999996,36741.38644460205,0.4673913960815963,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
50,1610001420000,2021-01-07 06:37:00,BTC/USDT,36981.32,36990.5,36950.0,36957.71,44.603939,1648911.46489001,1344,37190.22579999999,37349.20545,36996.138095238086,76.27681138924163,79.65430003614055,72.99353491905073,66.93971344281313,85.10117787152595,37109.83220219277,37206.74869061625,36982.685000000005,36758.62130938376,0.4442680785732919,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
51,1610001480000,2021-01-07 06:38:00,BTC/USDT,36957.96,36993.9,36950.0,36986.48,32.036688,1184466.23359537,1336,37180.6038,37347.4415,36982.865714285705,71.69683889189844,76.9016647561056,71.42410852963133,68.43451180508586,77.40330197872225,37103.958287802634,37162.03820308764,36970.5,36778.96179691236,0.5417149157254315,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
52,1610001540000,2021-01-07 06:39:00,BTC/USDT,36986.49,36990.73,36955.0,36987.75,39.851703,1473637.33075028,1229,37170.56,37345.332200000004,36971.32142857142,63.33157466292035,70.43507498135348,64.83134835887093,67.2334573230142,60.02713043058438,37098.42455981203,37116.851563649216,36959.654500000004,36802.45743635079,0.5893639465896497,0,-1,1.0,0.0,0.0,0.027006095180809844,0.0,0.0,0.0,0.0,0.0
53,1610001600000,2021-01-07 06:40:00,BTC/USDT,36987.75,37027.99,36987.75,37026.67,38.278562,1416621.11795369,1068,37162.36299999999,37343.61105,36962.8457142857,65.46822465657394,66.83221273713092,68.71209563977374,67.72633676193405,70.68361339545311,37095.00767601145,37103.64486270748,36956.223,36808.80113729252,0.7389299616291765,0,1,0.0,1.0,998.8946970239992,0.0,0.0,0.03402767992781719,0.003406649292754952,-1.1053029760007576,-0.11052641630010251
54,1610001660000,2021-01-07 06:41:00,BTC/USDT,37026.67,37165.94,37026.66,37137.38,70.54282,2616988.73947603,2241,37157.23159999999,37342.422399999996,36964.84952380951,72.10494619036027,66.96824850328485,75.20653721056632,70.21973691147814,85.1801378087427,37097.02540572519,37126.99634716958,36961.574,36796.15165283042,1.0313852783740631,0,0,0.0,0.0,998.8946970239992,0.0,0.0,0.0,0.0,0.0,0.0
55,1610001720000,2021-01-07 06:42:00,BTC/USDT,37134.23,37153.62,37111.71,37138.82,44.160275,1639833.35050961,1359,37152.28279999999,37340.99495,36970.01428571427,84.48653993189684,74.01990359294369,79.73456122103083,73.39134501466236,92.42099363376775,37099.01562450017,37146.932178232164,36966.484000000004,36786.035821767844,0.9775221387335721,0,0,0.0,0.0,998.8946970239992,0.0,0.0,0.0,0.0,0.0,0.0
56,1610001780000,2021-01-07 06:43:00,BTC/USDT,37138.81,37144.51,37067.01,37086.31,45.732588,1696994.33666322,1380,37145.238999999994,37339.3879,36972.18999999999,80.0366818414868,78.87605598791464,74.19771279080364,73.66013427337612,75.27286982565869,37098.41059476207,37158.60108403833,36970.7995,36782.99791596167,0.8075333485377335,0,0,0.0,0.0,998.8946970239992,0.0,0.0,0.0,0.0,0.0,0.0
57,1610001840000,2021-01-07 06:44:00,BTC/USDT,37086.32,37099.97,37027.01,37040.42,49.858897,1848119.42822133,1285,37138.047399999996,37337.4185,36974.114761904755,64.59578920025332,76.373003657879,63.42272267001945,70.24766373892389,49.77284053221058,37095.64913786863,37165.55723230899,36976.3565,36787.155767691016,0.6693003489420268,0,-1,0.0,0.0,998.8946970239992,0.0,0.0,0.0,0.0,0.0,0.0
58,1610001900000,2021-01-07 06:45:00,BTC/USDT,37040.42,37075.63,37014.8,37051.22,50.295176,1863254.47471416,1372,37132.06219999999,37335.07605,36979.92142857142,50.62363002068369,65.08536702080794,57.90652568109662,66.13395105298146,41.45167493732694,37093.53346463679,37173.10309203637,36981.623,36790.14290796363,0.6817342974401277,0,0,0.0,0.0,998.8946970239992,0.0,0.0,0.0,0.0,0.0,0.0
59,1610001960000,2021-01-07 06:46:00,BTC/USDT,37051.23,37065.78,37051.22,37056.71,39.616416,1468154.8177074,974,37126.83379999999,37332.2737,36985.198571428555,46.054459572102566,53.757959597679864,55.076518648933046,62.44814025163199,40.33327544353516,37091.779966320755,37179.883224552614,36989.257999999994,36798.632775447375,0.67692307027653,0,0,0.0,0.0,998.8946970239992,0.0,0.0,0.0,0.0,0.0,0.0
60,1610002020000,2021-01-07 06:47:00,BTC/USDT,37056.67,37096.29,37056.66,37066.42,39.125945,1450650.83035748,1352,37120.835199999994,37329.6889,36992.93238095237,49.70378119933026,48.79395693070551,54.32458153600009,59.740287346421354,43.49316991515755,37090.572348876914,37178.99236644404,37001.0885,36823.18463355595,0.68361461531402,0,0,0.0,0.0,998.8946970239992,0.0,0.0,0.0,0.0,0.0,0.0
61,1610002080000,2021-01-07 06:48:00,BTC/USDT,37066.42,37117.69,37066.42,37113.09,40.534352,1503966.32370751,988,37116.44459999999,37327.3844,37006.42190476189,57.5259531726868,51.09473131470654,59.66327023177357,59.71461497487209,59.560580745576544,37091.64461797801,37168.978422169064,37017.7195,36866.460577830934,0.8152557833692606,0,0,0.0,0.0,998.8946970239992,0.0,0.0,0.0,0.0,0.0,0.0
62,1610002140000,2021-01-07 06:49:00,BTC/USDT,37112.15,37114.39,37079.34,37079.35,54.398856,2018038.05139801,1434,37111.08759999999,37324.6605,37020.65428571428,55.290033930223416,54.17325610074683,54.0117624402543,57.813664129999495,46.407959060763915,37091.05915997906,37149.503949918544,37031.08349999999,36912.66305008144,0.7037929261086356,0,0,0.0,0.0,998.8946970239992,0.0,0.0,0.0,0.0,0.0,0.0
63,1610002200000,2021-01-07 06:50:00,BTC/USDT,37079.35,37112.27,37054.43,37112.26,57.904166,2146644.34230365,1384,37105.69499999999,37322.544749999994,37034.94904761904,61.08513888918012,57.96704199736345,59.4098490225043,58.345725760834426,61.538095545844044,37092.068723789576,37156.08888447316,37039.3575,36922.62611552684,0.8122660642167112,0,1,0.0,0.0,998.8946970239992,0.0,0.0,0.0,0.0,0.0,0.0
