Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1524139200,2018-04-19 12-PM,BTCUSD,8188.9,8239.9,8183.33,8228.97,37.66,309449.8
1524135600,2018-04-19 11-AM,BTCUSD,8215.33,8222.59,8179.64,8188.9,14.33,117507.87
1524132000,2018-04-19 10-AM,BTCUSD,8206.71,8246.68,8205,8215.33,52.37,430185.81
1524128400,2018-04-19 09-AM,BTCUSD,8174,8243.51,8141.14,8206.71,171.14,1405251.65
1524124800,2018-04-19 08-AM,BTCUSD,8157.54,8225,8156.25,8174,37.59,307862.48
1524121200,2018-04-19 07-AM,BTCUSD,8170.28,8221.54,8090.45,8157.54,130.4,1065270.15
1524117600,2018-04-19 06-AM,BTCUSD,8173.41,8193.77,8161.55,8170.28,30.63,250529.54
1524114000,2018-04-19 05-AM,BTCUSD,8192.23,8192.23,8170.88,8173.41,28.4,232324.28
1524110400,2018-04-19 04-AM,BTCUSD,8191.4,8194.35,8152.5,8192.23,90.85,743010.8
1524106800,2018-04-19 03-AM,BTCUSD,8206.71,8206.71,8160.26,8191.4,35.33,289069.37
1524103200,2018-04-19 02-AM,BTCUSD,8180,8267.58,8150.23,8206.71,133.45,1096623.87
1524099600,2018-04-19 01-AM,BTCUSD,8154.68,8200.89,8121,8180,69.75,569992.26
1524096000,2018-04-19 12-AM,BTCUSD,8168.11,8168.13,8097.84,8154.68,77.21,626771.86
1524092400,2018-04-18 11-PM,BTCUSD,8156.69,8181.84,8154.93,8168.11,12.66,103392.91
1524088800,2018-04-18 10-PM,BTCUSD,8187.15,8212.29,8118.85,8156.69,40.66,331770.32
1524085200,2018-04-18 09-PM,BTCUSD,8188.64,8190.67,8176.65,8187.15,35.42,289892.84
1524081600,2018-04-18 08-PM,BTCUSD,8114.22,8229.52,8100.7,8188.64,193.25,1581593.47
1524078000,2018-04-18 07-PM,BTCUSD,8104.52,8126.31,8092.94,8114.22,5.47,44350.98
1524074400,2018-04-18 06-PM,BTCUSD,8103.96,8119.78,8103.79,8104.52,7.55,61226.38
1524070800,2018-04-18 05-PM,BTCUSD,8121.03,8129.83,8092.99,8103.96,30.28,245572.97
1524067200,2018-04-18 04-PM,BTCUSD,7993.56,8138.96,7993.56,8121.03,128.87,1041524.24
1524063600,2018-04-18 03-PM,BTCUSD,7960.2,8004.51,7942.69,7993.56,98.83,788023.85
