unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1638831600,2021-12-06 23:00:00,BTC/USDT,50776.38387113,50868.02463906,50295.20010152,50375.23974086,207074.84432475,4.09290735
1638829800,2021-12-06 22:30:00,BTC/USDT,50462.36623579,50878.3964957,50368.84581282,50747.86582706,299675.17293411,5.91444401
1638828000,2021-12-06 22:00:00,BTC/USDT,50124.44621017,50785.36826153,50065.79745208,50449.84670532,944903.62055333,18.72576341
1638826200,2021-12-06 21:30:00,BTC/USDT,49121.73422772,50526.23494885,49121.73422772,50053.72177268,2626062.38355718,52.52575352
1638824400,2021-12-06 21:00:00,BTC/USDT,48827.24090825,49214.62591967,48804.09881339,49175.66433527,165255.88053324,3.37302466
1638822600,2021-12-06 20:30:00,BTC/USDT,49121.34912676,49224,48770,48817.76728936,278602.59683894,5.67803178
1638820800,2021-12-06 20:00:00,BTC/USDT,49101.32454915,49146.2948517,49007,49124.10508292,122531.49953793,2.4960836
1638819000,2021-12-06 19:30:00,BTC/USDT,49256,49299.68455796,49076.96783625,49095.62237594,222182.8209997,4.52127496
1638817200,2021-12-06 19:00:00,BTC/USDT,49221.91041304,49354.64831429,49176.44979563,49254.09960738,184269.13595959,3.73984816
1638815400,2021-12-06 18:30:00,BTC/USDT,48965.11806872,49221.91041304,48941.19397064,49168.39023564,195145.90802988,3.97659112
1638813600,2021-12-06 18:00:00,BTC/USDT,49003.76988472,49003.76988472,48793.5719114,48939.50661322,202881.96949799,4.15003536
1638811800,2021-12-06 17:30:00,BTC/USDT,49222.39597717,49255.32289975,48894,48956.58854147,147346.03478925,3.00224666
1638810000,2021-12-06 17:00:00,BTC/USDT,49138.3610386,49227.31765476,48997.41138094,49213.65097859,777493.24841604,15.83726806
1638808200,2021-12-06 16:30:00,BTC/USDT,48874.65275587,49184.29140039,48872.63170939,49118.02025901,1115310.94386874,22.72963847
1638806400,2021-12-06 16:00:00,BTC/USDT,48950.64646464,49000,48678.02545473,48887.79377089,712568.07941842,14.59141621
1638804600,2021-12-06 15:30:00,BTC/USDT,48782.51110405,48940.64646464,48530.32241563,48940.64646464,614544.8474419,12.60298387
1638802800,2021-12-06 15:00:00,BTC/USDT,48123.50542708,48782.51110405,48011.2262794,48768.01432204,517623.12340396,10.67262315
1638801000,2021-12-06 14:30:00,BTC/USDT,48382.4882109,48543.62911583,47826.50000001,48201.17869289,1097859.42749576,22.8313821
1638799200,2021-12-06 14:00:00,BTC/USDT,48283.39583245,48443.05353533,48170.17053597,48395.55356993,218880.83000351,4.53036161
